へろー,2
1.17,nb_c
2.20,s
3.20,st
4.10,DA
4.97,st
5.87,nb_c
6.87,nb_c
8.10,fa
9.13,s
9.43,ba
9.70,ba
10.60,DA
11.47,g
12.64,ua
14.30,s
14.67,g
15.70,g
16.47,fth
17.90,ub_a
21.60,ba
24.30,ub_a
26.27,fa
27.54,nb_c
30.97,s
33.11,fa
35.27,s
36.94,nb_c
38.71,fa
40.91,ua
41.94,ba
44.04,g
48.48,s
49.51,ba
54.94,na
56.78,ub_a
60.58,ub_a
65.94,nb_c
68.41,s
71.65,ua
73.51,ba
74.78,s
75.21,g
75.88,fth
77.08,bc
81.08,s
81.58,nb_c
82.18,ba
84.58,ua
86.01,s
86.35,s
87.88,nb_c
88.88,s
89.75,g
90.12,fth
91.98,dc
93.65,nb_c
94.78,s
96.55,na
97.65,ba
99.28,fa
100.05,s
103.25,db_g
104.52,ua
106.55,ba
107.62,ub_a
111.55,ub_a
113.35,s
115.85,na
116.79,ub_a
120.09,s
120.49,na
124.72,nb_a
128.85,na
129.79,fa
132.06,nb_c
133.46,s
134.46,DA
136.06,sd
136.92,s
139.26,ub_a
