へろー,3
1.47,nb_c
2.37,s
3.07,DA
3.47,ut
4.53,na
5.27,db_g
6.33,s
7.30,db_g
9.03,fa
10.70,nb_c
11.60,s
12.27,fa
12.80,db_g
13.97,s
14.67,DA
15.34,sd
15.90,db_g
16.90,ua
17.57,ua
18.67,ut
21.64,ba
25.37,ba
26.17,ub_a
27.10,nb_c
29.54,sd
31.01,ad
31.84,ut
32.94,g
38.24,ub_a
41.01,s
41.34,fa
42.21,s
43.27,sd
43.64,db_g
45.98,na
46.87,db_g
47.44,nb_a
51.61,ba
55.24,nb_c
56.34,db_a
57.54,s
59.04,ss
60.01,nb_c
63.21,nb_c
64.34,nb_c
65.64,s
66.18,s
67.78,nb_a
69.04,st
70.98,dt
71.81,s
73.14,ba
77.78,fa
78.95,nb_c
81.75,sd
86.35,db_g
92.98,nb_c
93.88,db_a
95.38,s
95.85,ss
97.08,ub_a
100.55,db_g
101.72,sd
102.75,DA
104.08,s
105.35,db_g
106.72,ba
107.92,db_g
108.92,s
109.38,g
113.32,da
116.09,na
121.09,ad
122.39,na
125.45,nb_c
126.59,fa
129.02,s
129.75,na
130.72,s
131.79,ss
137.69,ba
138.82,s
139.69,s
140.42,s
141.39,ba
143.32,ba
144.09,ub_a
148.12,ub_a
